DATA CARTA;REGIÃO;MASSA DE AR;DESCRIÇÃO;ESTAÇÃO;;;;;;;;;;;;;;;;;;;;;
2021-01-01 00:00:00;Norte;mEc;Região localizada sobre a bacia amazônica, caracterizada por altas temperaturas e elevada umidade, mantendo as características térmicas e higrométricas da massa equatorial continen;Verão;;;;;;;;;;;;;;;;;;;;;
2021-01-01 00:00:00;Nordeste;mTa;Predominância de escoamento vindo do oceano sobre o setor delimitado, sob influência da circulação anticiclônica do Atlântico Sul, caracterizando a mTa como massa dominante.;Verão;;;;;;;;;;;;;;;;;;;;;
2021-01-01 00:00:00;Litoral;mEa;A região delimitada no litoral nordeste encontra-se sob o domínio da massa de ar quente e úmida de origem oceânica, característica da mEa nesta época do ano.;Verão;;;;;;;;;;;;;;;;;;;;;
2021-01-01 00:00:00;Centro;mTc;Região do interior do continente, caracterizada por baixas pressões relativas e ausência de influência direta de sistemas frontais ou umidade oceânica, favorecendo o predomínio da ;Verão;;;;;;;;;;;;;;;;;;;;;
2021-01-01 00:00:00;Sul;mPa;A região delimitada encontra-se sob influência imediata do avanço de uma massa de ar frio e úmido após a passagem de sistema frontal, caracterizando a atuação da mPa.;Verão;;;;;;;;;;;;;;;;;;;;;
2021-01-02 00:00:00;Norte;mEc;Regiao localizada intrinsicamente na bacia amazonica, caracterizada pelo dominio de alta umidade e temperaturas elevadas, configurando o predominio da massa equatorial continental.;Verão;;;;;;;;;;;;;;;;;;;;;
2021-01-02 00:00:00;Nordeste;mTa;Regiao sob incidencia de fluxo de transporte maritimo de ar quente e umido, caracteristico da circulacao periferica da alta pressao subtropical do Atlantico Sul sobre o Nordeste.;Verão;;;;;;;;;;;;;;;;;;;;;
2021-01-02 00:00:00;Litoral;mEa;A região delimitada no litoral norte/nordeste encontra-se sob influência da massa Equatorial Atlântica, caracterizada pelo fluxo quente e úmido de baixas latitudes.;Verão;;;;;;;;;;;;;;;;;;;;;
2021-01-02 00:00:00;Centro;mTc;A região apresenta baixas pressões relativas e temperaturas elevadas, características típicas da Massa Tropical Continental, que atua predominantemente sobre o interior do continen;Verão;;;;;;;;;;;;;;;;;;;;;
2021-01-02 00:00:00;Sul;mPa;A região delimitada encontra-se sob influência de uma massa de ar frio e úmido (mPa) pós-frontal, caracterizada pela queda nas temperaturas e transporte de umidade em baixos níveis;Verão;;;;;;;;;;;;;;;;;;;;;
2021-01-03 00:00:00;Norte;mEc;A região demarcada encontra-se sobre a bacia amazônica, caracterizada por altas temperaturas e elevada umidade, evidenciando o domínio da Massa Equatorial Continental (mEc).;Verão;;;;;;;;;;;;;;;;;;;;;
2021-01-03 00:00:00;Nordeste;mTa;Regiao sob influencia do escoamento de leste-nordeste oriundo do oceano, caracterizando o dominio da massa Tropical Atlantica no setor estudado.;Verão;;;;;;;;;;;;;;;;;;;;;
2021-01-03 00:00:00;Litoral;mTa;Regiao sob fluxo de leste/sudeste associado a ASAS, mantendo as caracteristicas de estabilidade, calor e umidade da Massa Tropical Atlantica no setor.;Verão;;;;;;;;;;;;;;;;;;;;;
2021-01-03 00:00:00;Centro;mTc;A região delimitada abrange o centro do continente, caracterizada por baixas pressões térmicas e ausência de influência direta de sistemas marítimos, configurando a massa tropical ;Verão;;;;;;;;;;;;;;;;;;;;;
2021-01-03 00:00:00;Sul;mTa;A região delimitada encontra-se sob influência da circulação da ASAS, caracterizando o predomínio de ar quente e úmido transportado do oceano para o continente, típicos da mTa.;Verão;;;;;;;;;;;;;;;;;;;;;
