DATA CARTA;REGIÃO;MASSA DE AR;DESCRIÇÃO;;;;;;;;;;;;;;;;;
2025-01-01 00:00:00;Nordeste;mTa;Predominio da massa Tropical Atlantica, caracterizada por fluxos quentes e umidos vindos do oceano que exercem influencia majoritaria sobre o setor nordestino.;Verão;;;;;;;;;;;;;;;;
2025-01-01 00:00:00;Litoral;mTa;A regiao delimitada esta sob o regime de circulacao do anticiclone subtropical, configurando fluxo de ar quente e umido transporte pelo oceano, caracterizando a atuacao da mTa.;Verão;;;;;;;;;;;;;;;;
2025-01-01 00:00:00;Centro;mTa;Regiao sob influencia direta das circulacoes da alta pressao do Atlantico Sul, caracterizada pela predominancia de ar quente e umido transporte maritimo sobre o litoral e interior.;Verão;;;;;;;;;;;;;;;;
2025-01-01 00:00:00;Sul;mTa;A região delimitada está sob influência do fluxo equatorial/tropical do Atlântico, caracterizando-se como massa quente e úmida típica desta época do ano na costa do Sudeste.;Verão;;;;;;;;;;;;;;;;
2025-01-02 00:00:00;Norte;mEc;A região delimitada compreende a bacia amazônica. A ausência de frentes frias ou sistemas de subsidência caracteriza o domínio da massa equatorial continental (mEc), quente e úmida;Verão;;;;;;;;;;;;;;;;
2025-01-02 00:00:00;Nordeste;mTa;A região do Nordeste encontra-se sob influência da circulação anticiclônica do Atlântico Sul, caracterizando a predominância da massa Tropical Atlântica (mTa), quente e úmida.;Verão;;;;;;;;;;;;;;;;
2025-01-02 00:00:00;Litoral;mTa;A região delimitada encontra-se sob influência do escoamento marítimo provindo do anticiclone subtropical, caracterizando a atuação da Massa Tropical Atlântica.;Verão;;;;;;;;;;;;;;;;
2025-01-02 00:00:00;Centro;mEc;A região central encontra-se sob domínio da massa equatoriana continental, caracterizada pela umidade elevada e temperaturas típicas de verão sobre o interior do Brasil.;Verão;;;;;;;;;;;;;;;;
2025-01-02 00:00:00;Sul;mPa;A região delimitada encontra-se na retaguarda de um sistema frontal (frente fria) que avança pelo Sudeste/Sul, evidenciando o ingresso e predomínio de ar frio e úmido de origem pol;Verão;;;;;;;;;;;;;;;;
2025-01-03 00:00:00;Norte;mEc;Regiao central e norte da Amazonia sob influencia direta da massa de ar quente e umida caracteristica da bacia amazonica, sem interferencia de sistemas frontais extratropicais.;Verão;;;;;;;;;;;;;;;;
2025-01-03 00:00:00;Nordeste;mTa;Regiao sob predominio da circulacao de leste/sudeste, apresentando caracteristicas de massa quente e umida transportada pelo fluxo zonal maritimo do Atlantico Sul.;Verão;;;;;;;;;;;;;;;;
2025-01-03 00:00:00;Litoral;mTa;A área delimitada é influenciada pelo fluxo de leste da circulação marítima, sob regime de ar quente e úmido característico da massa Tropical Atlântica.;Verão;;;;;;;;;;;;;;;;
2025-01-03 00:00:00;Centro;mTa;Regiao sob predominio de escoamento maritimo quente e umido, caracteristico da massa tropical atlantica, condizente com as condicoes de estabilidade observadas na area de estudo.;Verão;;;;;;;;;;;;;;;;
2025-01-03 00:00:00;Sul;mTa;Região sob influência da circulação anticiclônica do Atlântico Sul, caracterizada pela predominância de ar quente e úmido transportado do oceano para o continente.;Verão;;;;;;;;;;;;;;;;
2025-01-04 00:00:00;Norte;mEc;A região demarcada abrange a bacia amazônica e áreas continentais adjacentes, onde predomina uma massa de ar quente e úmida de origem continental durante o verão.;Verão;;;;;;;;;;;;;;;;
2025-01-04 00:00:00;Nordeste;mTa;Predominio da massa Tropical Atlantica no setor nordestino, caracterizada por alta umidade e temperaturas elevadas sob fluxo de leste influenciado pela circulacao do Atlantico Sul.;Verão;;;;;;;;;;;;;;;;
2025-01-04 00:00:00;Litoral;mTa;Regiao sob influencia do escoamento de leste-nordeste oriundo do anticiclone subtropical do Atlantico Sul, caracterizando a predominancia de ar tropical quente e umido no litoral.;Verão;;;;;;;;;;;;;;;;
2025-01-04 00:00:00;Centro;mTa;Região central sob influência direta do fluxo de umidade do Atlântico e gradiente de pressão característico da massa tropical, mantendo temperaturas elevadas e umidade moderada.;Verão;;;;;;;;;;;;;;;;
2025-01-04 00:00:00;Sul;mPa;A região delimitada no setor Sul encontra-se sob influência de ar frio e seco, caracterizando o pós-frontal do sistema que avança sobre o continente, indicativo claro da mPa.;Verão;;;;;;;;;;;;;;;;
2025-01-05 00:00:00;Norte;mEc;Dominio sobre a regiao Amazonica, caracterizada pelo ar quente e umido de origem continental, mantendo o padrao termobarometrico estavel do interior do continente.;Verão;;;;;;;;;;;;;;;;
2025-01-05 00:00:00;Nordeste;mTa;A região sob o retângulo é dominada pelo fluxo de leste/sudeste associado ao transporte marítimo, caracterizando a atuação da massa Tropical Atlântica (mTa) sobre o nordeste brasil;Verão;;;;;;;;;;;;;;;;
2025-01-05 00:00:00;Litoral;mTa;A regiao delimitada esta sob o dominio do escoamento de leste-nordeste da alta pressao subtropical, caracterizando a atuacao da Massa Tropical Atlantica (mTa) no litoral leste.;Verão;;;;;;;;;;;;;;;;
2025-01-05 00:00:00;Centro;mTa;A região encontra-se submetida ao fluxo de norte/nordeste periférico da ASAS, apresentando características termodinâmicas típicas de uma massa de ar quente e úmida marítima.;Verão;;;;;;;;;;;;;;;;
2025-01-05 00:00:00;Sul;mPa;A região delimitada encontra-se na retaguarda de uma frente fria, caracterizada pela incursão de ar mais frio e menos úmido típico da massa polar atlântica.;Verão;;;;;;;;;;;;;;;;
2025-01-06 00:00:00;Norte;mEc;Dominio da Massa Equatorial Continental sobre a regiao Amazonica, caracterizada pelo ar quente e umido, sem influencia direta de sistemas frontais ou massas de origem polar no seto;Verão;;;;;;;;;;;;;;;;
2025-01-06 00:00:00;Nordeste;mTa;A região encontra-se sob influência do fluxo de leste/sudeste associado ao escoamento marítimo, característico da massa tropical atlântica, predominante na área delimitada.;Verão;;;;;;;;;;;;;;;;
2025-01-06 00:00:00;Litoral;mTa;A região delimitada apresenta o transporte marítimo de umidade sob influência da circulação do gradiente de pressão do Atlântico Sul, caracterizando a predominância da mTa.;Verão;;;;;;;;;;;;;;;;
2025-01-06 00:00:00;Centro;mPa;A regiao delimitada encontra-se sob a influência direta do avanço da massa de ar polar, posicionada logo atrás da frente fria que atua no setor centro-sudeste do Brasil.;Verão;;;;;;;;;;;;;;;;
2025-01-06 00:00:00;Sul;mTa;A região encontra-se sob influência do fluxo marítimo da ASAS, caracterizado por temperaturas elevadas e umidade, configurando o predomínio da Massa Tropical Atlântica (mTa).;Verão;;;;;;;;;;;;;;;;
2025-01-07 00:00:00;Norte;mEc;Região central da Bacia Amazônica sob domínio da massa equatorial continental, caracterizada por elevados índices de temperatura e umidade, sem influência direta de sistemas fronta;Verão;;;;;;;;;;;;;;;;
2025-01-07 00:00:00;Nordeste;mTa;A região encontra-se sob influência do fluxo marítimo da alta pressão do Atlântico, estabelecendo o domínio da massa tropical atlântica, quente e úmida.;Verão;;;;;;;;;;;;;;;;
2025-01-07 00:00:00;Litoral;mTa;Região sob influência direta da circulação marítima quente e úmida da massa tropical atlântica, caracterizada pelo escoamento persistente com fluxo vindo do oceano sobre a costa.;Verão;;;;;;;;;;;;;;;;
2025-01-07 00:00:00;Centro;mTa;Predominancia da Massa Tropical Atlantica devido ao fluxo de leste/nordeste sob influencia do anticiclone subtropical, mantendo condicoes de aquecimento e umidade sobre a regiao.;Verão;;;;;;;;;;;;;;;;
2025-01-07 00:00:00;Sul;mTa;A região encontra-se sob influência do fluxo equatorial/tropical do quadrante norte/nordeste, sem transição para ar frio pós-frontal, caracterizando a predominância da mTa.;Verão;;;;;;;;;;;;;;;;
2025-01-08 00:00:00;Norte;mEc;Região central e amazônica com características termais quentes e úmidas típicas da massa equatorial continental, sem influência frontal no setor delimitado.;Verão;;;;;;;;;;;;;;;;
2025-01-08 00:00:00;Nordeste;mTa;Predominio da massa tropical atlantica na regiao nordeste, caracterizada por transporte de umidade e estabilidade vindo do oceano sob influencia do escoamento zonal prevalente.;Verão;;;;;;;;;;;;;;;;
2025-01-08 00:00:00;Litoral;mTa;Predominio da massa tropical atlantica na regiao costeira, sob influencia do escoamento zonal e caracteristicas termodinamicas tipicas de estabilidade e umidade oceanica.;Verão;;;;;;;;;;;;;;;;
2025-01-08 00:00:00;Centro;mTa;Regiao sob influencia da circulacao periferica da alta pressao subtropical do Atlantico Sul, caracterizando a predominancia da massa Tropical Atlantica.;Verão;;;;;;;;;;;;;;;;
2025-01-08 00:00:00;Sul;mTa;A região delimitada situa-se sob domínio do fluxo de nordeste e leste proveniente do oceano, característico da circulação da Massa Tropical Atlântica, mantendo condições estáveis.;Verão;;;;;;;;;;;;;;;;
2025-01-09 00:00:00;Norte;mEc;Regiao situada sobre a bacia Amazonica, caracterizada por elevados indices de umidade e temperaturas elevadas, configurando o dominio tipico da massa equatorial continental.;Verão;;;;;;;;;;;;;;;;
2025-01-09 00:00:00;Nordeste;mTa;Predominância de fluxo marítimo oriundo do Atlântico Sul, caracterizando a atuação da mTa sobre a costa e porção oriental do Nordeste brasileiro.;Verão;;;;;;;;;;;;;;;;
2025-01-09 00:00:00;Litoral;mTa;Regiao sob predominio da circulacao maritima associada a alta subtropical, caracterizando a atuacao da massa Tropical Atlantica com predominancia de umidade e calor no litoral.;Verão;;;;;;;;;;;;;;;;
2025-01-09 00:00:00;Centro;mTa;Região sob influência direta do fluxo de umidade do oceano associado ao transporte marítimo, caracterizando a predominância de ar quente e úmido de origem tropical atlântica.;Verão;;;;;;;;;;;;;;;;
2025-01-09 00:00:00;Sul;mPa;A região delimitada situa-se na retaguarda da frente fria, caracterizada pela incursão de ar mais frio e denso, típico do deslocamento pós-frontal da mPa sobre o Sul do Brasil.;Verão;;;;;;;;;;;;;;;;
2025-01-10 00:00:00;Norte;mEc;Região situada no domínio da Bacia Amazônica, caracterizada pela predominância de ar quente e úmido de origem continental, típica da mEc.;Verão;;;;;;;;;;;;;;;;
2025-01-10 00:00:00;Nordeste;mTa;Predominância da Massa Tropical Atlântica, caracterizada pelo escoamento de leste/sudeste associado ao fluxo periférico da ASAS, favorecendo umidade e calor na região.;Verão;;;;;;;;;;;;;;;;
2025-01-10 00:00:00;Litoral;mTa;A regiao delimitada esta sob influencia direta do fluxo maritimo vindo do Atlantico Sul, caracterizando a predominancia da Massa Tropical Atlantica (mTa) quente e umida.;Verão;;;;;;;;;;;;;;;;
2025-01-10 00:00:00;Centro;mTa;A região encontra-se sob influência do escoamento marítimo quente e úmido associado à circulação de alta pressão sobre o Atlântico Sul, caracterizando a predominância da mTa.;Verão;;;;;;;;;;;;;;;;
2025-01-10 00:00:00;Sul;mPa;A região delimitada encontra-se na retaguarda da frente fria, caracterizada por aporte de ar mais frio e denso, típico do domínio da Massa Polar Atlântica.;Verão;;;;;;;;;;;;;;;;
2025-01-11 00:00:00;Norte;mEc;Regiao central da Amazonia sob influencia da Massa Equatorial Continental, caracterizada por alta umidade e temperaturas elevadas, desvinculada de sistemas frontais externos.;Verão;;;;;;;;;;;;;;;;
2025-01-11 00:00:00;Nordeste;mTa;Região sob influência direta do fluxo de leste estabelecido pela alta subtropical, caracterizando a massa tropical atlântica, quente e úmida, predominante no setor leste do Brasil.;Verão;;;;;;;;;;;;;;;;
2025-01-11 00:00:00;Litoral;mTa;A regiao delimitada esta sob influencia direta do fluxo maritimo quente e umido, caracteristico da massa tropical atlantica, condizente com a circulacao do setor leste.;Verão;;;;;;;;;;;;;;;;
2025-01-11 00:00:00;Centro;mPa;A região apresenta o avanço de uma frente fria, com a predominância de uma Massa Polar Atlântica (mPa) na retaguarda, caracterizada pela incursão de ar mais frio e denso sobre o se;Verão;;;;;;;;;;;;;;;;
2025-01-11 00:00:00;Sul;mTa;Predominância da massa Tropical Atlântica, caracterizada pelo fluxo de umidade do quadrante norte/nordeste e temperaturas elevadas na região sob influência da ASAS.;Verão;;;;;;;;;;;;;;;;
2025-01-12 00:00:00;Norte;mEc;A região delimitada abrange a bacia amazônica, caracterizada sobre esta área por ar quente e úmido, definindo o domínio da Massa Equatorial Continental (mEc).;Verão;;;;;;;;;;;;;;;;
2025-01-12 00:00:00;Nordeste;mTa;Região sob influência direta do fluxo de leste/sudeste originado no Oceano Atlântico, caracterizando o transporte de umidade e calor típico da Massa Tropical Atlântica.;Verão;;;;;;;;;;;;;;;;
2025-01-12 00:00:00;Litoral;mTa;Predominio da massa Tropical Atlantica na regiao costeira do Nordeste, caracterizada por fluxo de leste quente e umido sob influencia da circulacao de alta pressao do Atlantico Sul;Verão;;;;;;;;;;;;;;;;
2025-01-12 00:00:00;Centro;mTa;A região encontra-se sob influência do escoamento marítimo oriundo da borda do sistema de alta pressão atlântica, caracterizando o transporte de ar quente e úmido dominante (mTa).;Verão;;;;;;;;;;;;;;;;
2025-01-12 00:00:00;Sul;mTa;Região sob influência direta da circulação marítima do Atlântico Sul, caracterizando um fluxo quente e úmido predominante de setor marítimo sobre o litoral do Sudeste.;Verão;;;;;;;;;;;;;;;;
2025-01-13 00:00:00;Norte;mEc;A região destacada sobre a bacia amazônica caracteriza-se por temperaturas elevadas e alta umidade, típicas da massa Equatorial Continental, sem influência de outros sistemas.;Verão;;;;;;;;;;;;;;;;
2025-01-13 00:00:00;Nordeste;mTa;Região sob influência direta do fluxo de leste da alta pressão subtropical do Atlântico Sul, caracterizando uma massa de ar quente e úmida predominante no setor do Nordeste.;Verão;;;;;;;;;;;;;;;;
2025-01-13 00:00:00;Litoral;mTa;A regiao delimitada encontra-se sob influncia da circulacao maritima predominante de leste/nordeste, caracterizando a presenca da massa de ar Tropical Atlantica (mTa) no litoral.;Verão;;;;;;;;;;;;;;;;
2025-01-13 00:00:00;Centro;mEc;Regiao sob predominio de massa quente e umida de origem equatorial, caracterizada pelo fluxo de umidade amazonica sobre o Brasil central, sem influência direta de sistemas frontais;Verão;;;;;;;;;;;;;;;;
2025-01-13 00:00:00;Sul;mTa;A região delimitada está sob forte influência do escoamento marítimo quente e úmido vindo do Atlântico Sul, característico da atuação da Massa Tropical Atlântica.;Verão;;;;;;;;;;;;;;;;
2025-01-14 00:00:00;Norte;mEc;Regiao central da Amazonia sem influencias frontais, predominando ar quente e umido caracteristico da Massa Equatorial Continental que domina o setor norte do continente.;Verão;;;;;;;;;;;;;;;;
2025-01-14 00:00:00;Nordeste;mTa;A região delimitada está sob forte influência do fluxo marítimo de sudeste, característico da atuação da Massa Tropical Atlântica, mantendo o transporte de umidade para o setor.;Verão;;;;;;;;;;;;;;;;
2025-01-14 00:00:00;Litoral;mTa;A regiao apresenta caracteristicas de escoamento maritimo associado a circulacao de alta pressao, transportando ar quente e umido sobre o setor leste do Brasil continental.;Verão;;;;;;;;;;;;;;;;
2025-01-14 00:00:00;Centro;mEc;A região delimitada encontra-se sob o domínio da massa equatorial continental, caracterizada por calor e alta umidade sobre o interior do continente, sem interferência polar.;Verão;;;;;;;;;;;;;;;;
2025-01-14 00:00:00;Sul;mTa;A região apresenta campo de pressão característico da periferia da ASAS, favorecendo o transporte de umidade e calor sobre o setor, sem influência direta de ar polar.;Verão;;;;;;;;;;;;;;;;
2025-01-15 00:00:00;Norte;mEc;Regiao sobre o dominio da Amazonia, caracterizada por baixas pressoes latitudinais e alta umidade convectiva, configurando a atuação da Massa Equatorial Continental.;Verão;;;;;;;;;;;;;;;;
2025-01-15 00:00:00;Nordeste;mTa;A regiao delimitada esta sob influencia direta do fluxo marítimo vindo do Atlantico Sul, caracterizando a predominancia da Massa Tropical Atlantica (mTa) sobre o setor.;Verão;;;;;;;;;;;;;;;;
2025-01-15 00:00:00;Litoral;mTa;Regiao sob influencia direta do fluxo marítimo do Atlantico Sul, apresentando caracteristicas de alta pressao, transporte de umidade e estabilidade tipicas da massa Tropical Atlant;Verão;;;;;;;;;;;;;;;;
2025-01-15 00:00:00;Centro;mEc;A região central encontra-se sob domínio da massa de ar quente e úmida proveniente da Amazônia, com reduzido gradiente de pressão e ausência de avanço de ar polar no setor.;Verão;;;;;;;;;;;;;;;;
2025-01-15 00:00:00;Sul;mPa;A região delimitada encontra-se na retaguarda de um sistema frontal, caracterizada pela incursão de ar mais frio e denso, típico do domínio da Massa Polar Atlântica.;Verão;;;;;;;;;;;;;;;;
2025-01-16 00:00:00;Norte;mEc;Regiao central da Amazonia brasileira caracterizada pela predominancia de ar quente e umido de origem continental, sem influencia de sistemas frontais ou massas de origem oceanica.;Verão;;;;;;;;;;;;;;;;
2025-01-16 00:00:00;Nordeste;mTa;Região sob influência direta do fluxo de leste/sudeste da circulação marítima, transportando umidade e ar quente característicos da Massa Tropical Atlântica sobre o setor.;Verão;;;;;;;;;;;;;;;;
2025-01-16 00:00:00;Litoral;mTa;A regiao delimitada esta sob influencia da circulacao periferica da alta pressao subtropical, caracterizando a atuacao da massa de ar Tropical Atlantica, quente e umida.;Verão;;;;;;;;;;;;;;;;
2025-01-16 00:00:00;Centro;mPa;A regiao delimitada encontra-se sob a influencia direta do avanco de uma massa de ar frio e seco, caracteristico de uma mPa, logo a retaguarda de um sistema frontal.;Verão;;;;;;;;;;;;;;;;
2025-01-16 00:00:00;Sul;mTa;A região encontra-se sob influência do escoamento marítimo associado ao sistema de alta pressão oceânico, caracterizando a predominância da Massa Tropical Atlântica.;Verão;;;;;;;;;;;;;;;;
2025-01-17 00:00:00;Norte;mEc;Região central da Bacia Amazônica sob influência de ar quente e úmido, característico do centro de ação térmico que define a massa Equatorial Continental.;Verão;;;;;;;;;;;;;;;;
